replicate,seed,episode_heterogeneity,temporal_structure,split_method,model,event_prevalence,auroc,status,runtime_seconds
0,42,False,False,grouped,boosted_trees,0.5110663983903421,0.5177894429862934,ok,2.4508617209503427
0,42,False,False,row_wise,boosted_trees,0.5110663983903421,0.8343054340429669,ok,2.456399090006016
1,43,False,False,grouped,boosted_trees,0.5155642023346303,0.47657801015382284,ok,1.598251449991949
1,43,False,False,row_wise,boosted_trees,0.5155642023346303,0.7370462984011518,ok,1.6039894389687106
2,44,False,False,grouped,boosted_trees,0.47788873038516405,0.40137835413098444,ok,1.7642145740101114
2,44,False,False,row_wise,boosted_trees,0.47788873038516405,0.763485849441318,ok,1.770330399973318
3,45,False,False,grouped,boosted_trees,0.5201342281879194,0.6184976314008572,ok,1.7929478209698573
3,45,False,False,row_wise,boosted_trees,0.5201342281879194,0.745195127453192,ok,1.8001162860309705
4,46,False,False,grouped,boosted_trees,0.5396145610278372,0.5036544850498339,ok,2.2254934400552884
4,46,False,False,row_wise,boosted_trees,0.5396145610278372,0.8465485418973792,ok,2.231892006006092
5,47,False,False,grouped,boosted_trees,0.5093023255813953,0.48520850916488123,ok,1.9887253179913387
5,47,False,False,row_wise,boosted_trees,0.5093023255813953,0.8928563699712176,ok,1.9953731489367783
6,48,False,False,grouped,boosted_trees,0.41127694859038144,0.4836494775102226,ok,2.451505002914928
6,48,False,False,row_wise,boosted_trees,0.41127694859038144,0.7906746933212176,ok,2.456973093911074
7,49,False,False,grouped,boosted_trees,0.486404833836858,0.5081887102667154,ok,1.9587362250313163
7,49,False,False,row_wise,boosted_trees,0.486404833836858,0.7173273657289002,ok,1.9650033649522811
8,50,False,False,grouped,boosted_trees,0.44651162790697674,0.6178124027388734,ok,3.2560177510604262
8,50,False,False,row_wise,boosted_trees,0.44651162790697674,0.8058959694989106,ok,3.262211116962135
9,51,False,False,grouped,boosted_trees,0.5951417004048583,0.6157568027210885,ok,3.020157787948847
