seed,replicate,model_name,model_label,condition,drift_strength,auc,brier,event_rate,n_obs
90000,0,logistic,Logistic Regression,leak_free,1.0,0.5226542501498973,0.2555039284459764,0.5007751937984496,645
90000,0,logistic,Logistic Regression,global_norm,1.0,0.5224809797367643,0.2555109438266328,0.5007751937984496,645
90000,0,logistic,Logistic Regression,episode_norm,1.0,0.6251154552036366,0.24779573972266022,0.5007751937984496,645
90001,1,logistic,Logistic Regression,leak_free,1.0,0.42768321744074433,0.27551969408536664,0.597457627118644,472
90001,1,logistic,Logistic Regression,global_norm,1.0,0.42763640295317473,0.2755860815779413,0.597457627118644,472
90001,1,logistic,Logistic Regression,episode_norm,1.0,0.6397830791930258,0.23597097521719265,0.597457627118644,472
90002,2,logistic,Logistic Regression,leak_free,1.0,0.5724098956442192,0.23783158341744162,0.4255725190839695,524
90002,2,logistic,Logistic Regression,global_norm,1.0,0.5727675710513994,0.2377490264263511,0.4255725190839695,524
90002,2,logistic,Logistic Regression,episode_norm,1.0,0.5753001786665153,0.24208055201601297,0.4255725190839695,524
91000,0,random_forest,Random Forest,leak_free,1.0,0.5642550505050505,0.2691458583970198,0.6452905811623246,499
91000,0,random_forest,Random Forest,global_norm,1.0,0.5642550505050505,0.2691458583970198,0.6452905811623246,499
91000,0,random_forest,Random Forest,episode_norm,1.0,0.627564935064935,0.2306741626826954,0.6452905811623246,499
91001,1,random_forest,Random Forest,leak_free,1.0,0.5368887098438175,0.33425339052394426,0.537109375,512
91001,1,random_forest,Random Forest,global_norm,1.0,0.53691262871102,0.33425339052394426,0.537109375,512
91001,1,random_forest,Random Forest,episode_norm,1.0,0.5598011053891729,0.2693896329929848,0.537109375,512
91002,2,random_forest,Random Forest,leak_free,1.0,0.7476363453481961,0.2326160372640671,0.38202247191011235,623
91002,2,random_forest,Random Forest,global_norm,1.0,0.7476363453481961,0.23261603726406707,0.38202247191011235,623
91002,2,random_forest,Random Forest,episode_norm,1.0,0.5967056400881426,0.23738971864287475,0.38202247191011235,623
92000,0,xgboost,Boosted Trees,leak_free,1.0,0.6873791966085577,0.28275523027821003,0.4610492845786963,629
92000,0,xgboost,Boosted Trees,global_norm,1.0,0.6873791966085577,0.28275523027821003,0.4610492845786963,629
92000,0,xgboost,Boosted Trees,episode_norm,1.0,0.6130550447959663,0.2621471608142872,0.4610492845786963,629
92001,1,xgboost,Boosted Trees,leak_free,1.0,0.716863614985041,0.24825526516337404,0.5197368421052632,608
92001,1,xgboost,Boosted Trees,global_norm,1.0,0.716863614985041,0.24825526516337404,0.5197368421052632,608
92001,1,xgboost,Boosted Trees,episode_norm,1.0,0.6443238371517852,0.24751875391742337,0.5197368421052632,608
92002,2,xgboost,Boosted Trees,leak_free,1.0,0.6046976398800673,0.35445539489305017,0.4204152249134948,578
92002,2,xgboost,Boosted Trees,global_norm,1.0,0.6046976398800673,0.35445539489305017,0.4204152249134948,578
92002,2,xgboost,Boosted Trees,episode_norm,1.0,0.5801458671323206,0.28773693100316255,0.4204152249134948,578
