seed,replicate,n_episodes,ar_coef,total_features,model_name,model_label,grouped_auc,grouped_brier,random_auc,random_brier,delta_cv,event_rate,n_obs,n_eff,rho_hat,avg_episode_size
0,0,20,0.0,5,logistic,Logistic Regression,0.7002592282305272,0.22137698934803685,0.7491981670768898,0.19659724112383511,0.04893893884636258,0.3968609865470852,446,31.6387192814419,0.6148662681742351,22.3
1,1,20,0.0,5,logistic,Logistic Regression,0.4442142263111388,0.27094955975493656,0.5314590564605887,0.2370635499699237,0.08724483014944984,0.3768844221105528,398,29.792361704005508,0.6539221635962953,19.9
2,2,20,0.0,5,logistic,Logistic Regression,0.6181991520474667,0.24715347639811935,0.6328462140765754,0.22614780834493398,0.014647062029108704,0.4256619144602851,491,61.03701624153882,0.2991209705826394,24.55
1000,0,20,0.0,5,random_forest,Random Forest,0.6530436628775265,0.28749971329590207,0.886845531610691,0.14334175173052843,0.23380186873316455,0.40654205607476634,428,30.496605391798166,0.6389386710315753,21.4
1001,1,20,0.0,5,random_forest,Random Forest,0.7524208883890257,0.24317674954435806,0.8076133295583446,0.18100532913716572,0.055192441169318984,0.5025380710659898,394,46.88608718245045,0.3959008405821838,19.7
1002,2,20,0.0,5,random_forest,Random Forest,0.4493068115842443,0.32949573887235095,0.7594465805798792,0.20173428435139043,0.31013976899563495,0.46938775510204084,441,54.170227741192726,0.3392400592997327,22.05
2000,0,20,0.0,5,xgboost,Boosted Trees,0.6374922845264526,0.2631681269714515,0.6858730989197054,0.23680162622156545,0.04838081439325281,0.6181229773462783,309,60.36842420495041,0.2850221395020606,15.45
2001,1,20,0.0,5,xgboost,Boosted Trees,0.67748730696304,0.28133538204107866,0.9035822710549782,0.12871508286398572,0.2260949640919382,0.40589569160997735,441,31.553076174822152,0.6164584450961278,22.05
2002,2,20,0.0,5,xgboost,Boosted Trees,0.7281796810987018,0.1785552126132115,0.9306066468420796,0.1219042486246002,0.20242696574337782,0.583011583011583,259,28.74358489447451,0.6703519872845274,12.95
3000,0,20,0.0,20,logistic,Logistic Regression,0.5338585408150626,0.2626333845449131,0.5789326207909934,0.24094976235649948,0.045074079975930825,0.6312997347480106,377,87.05961697479731,0.18657512262658704,18.85
3001,1,20,0.0,20,logistic,Logistic Regression,0.6729620873401458,0.22791902694966068,0.7093296284563687,0.2043332494059024,0.03636754111622287,0.36058700209643607,477,32.76700606413582,0.5933184387724185,23.85
3002,2,20,0.0,20,logistic,Logistic Regression,0.22957355888060785,0.4161281813129643,0.4821919443517195,0.26626218098113874,0.2526183854711117,0.5762081784386617,269,31.730870232161813,0.60060632714129,13.45
4000,0,20,0.0,20,random_forest,Random Forest,0.5909311513627915,0.28877452004536647,0.7544290452755881,0.20481937235381253,0.16349789391279657,0.5587392550143266,349,41.95962590507266,0.44483400248288774,17.45
4001,1,20,0.0,20,random_forest,Random Forest,0.5393529922478151,0.26910777768072397,0.6802056974394404,0.22445771441889742,0.1408527051916253,0.4731182795698925,372,45.731321323141614,0.405367537396275,18.6
4002,2,20,0.0,20,random_forest,Random Forest,0.5058924077871446,0.2850499482675692,0.7774273750314097,0.1737673264450219,0.27153496724426507,0.4019138755980861,418,28.18797242258583,0.6949256159932978,20.9
5000,0,20,0.0,20,xgboost,Boosted Trees,0.7407264922481147,0.24459619740165683,0.8930855862734169,0.13845029221679464,0.15235909402530223,0.43535620052770446,379,31.02004742696636,0.6249529381562066,18.95
5001,1,20,0.0,20,xgboost,Boosted Trees,0.34230169340463457,0.4468517857089198,0.6568281816243434,0.2686506452772441,0.31452648821970886,0.4642857142857143,336,42.22460115122293,0.440344708227865,16.8
5002,2,20,0.0,20,xgboost,Boosted Trees,0.4770397975634227,0.3236212657757614,0.6104828842727846,0.2581583484342915,0.13344308670936195,0.3875,560,75.57808822405855,0.23739092519525454,28.0
6000,0,20,0.0,100,logistic,Logistic Regression,0.46106269964160823,0.34848662334406083,0.4949440410724762,0.3335943188408852,0.03388134143086796,0.41916167664670656,501,66.98507481414948,0.26940865089209853,25.05
6001,1,20,0.0,100,logistic,Logistic Regression,0.5939918685906689,0.31479353484743755,0.6165549004337806,0.3067544625130215,0.022563031843111703,0.41774891774891776,462,39.75556257254415,0.48058892655964613,23.1
6002,2,20,0.0,100,logistic,Logistic Regression,0.6383943188348583,0.26568850128510374,0.6011273150856452,0.2939212833477432,-0.0372670037492131,0.3623445825932504,563,56.84435181512595,0.327964574131026,28.15
7000,0,20,0.0,100,random_forest,Random Forest,0.6299347123268674,0.22872900561364404,0.6602690483434576,0.2260780518959524,0.03033433601659019,0.4022346368715084,537,48.81953228971667,0.3868354240705787,26.85
7001,1,20,0.0,100,random_forest,Random Forest,0.5137555130071272,0.2629628610648256,0.604937209422553,0.24611789386459224,0.09118169641542584,0.4923547400611621,327,43.501245444768706,0.42456196481948827,16.35
7002,2,20,0.0,100,random_forest,Random Forest,0.5137690620362912,0.2537703679014209,0.6059519506085617,0.23910321239049528,0.09218288857227042,0.43414634146341463,410,63.30446258478163,0.28085315952527623,20.5
8000,0,20,0.0,100,xgboost,Boosted Trees,0.29326025172616427,0.5271705141231063,0.6753181125154449,0.25514996695492664,0.38205786078928067,0.4680232558139535,344,47.18707516922488,0.3882797443510662,17.2
