seed,replicate,n_episodes,ar_coef,total_features,model_name,model_label,grouped_auc,grouped_brier,random_auc,random_brier,delta_cv,event_rate,n_obs,n_eff,rho_hat,avg_episode_size
0,0,20,0.0,5,logistic,Logistic Regression,0.6737165315647261,0.2314791735100099,0.7374846475067552,0.2041123929763687,0.06376811594202914,0.4348894348894349,407,32.95600268469191,0.5865529057843238,20.35
1,1,20,0.0,5,logistic,Logistic Regression,0.35738437001594897,0.3817868269725355,0.5347687400318979,0.24309044100449795,0.17738437001594892,0.4178272980501393,359,30.875219580189135,0.6269880631872093,17.95
1000,0,20,0.0,5,random_forest,Random Forest,0.6460839347767977,0.2516156306895592,0.8501202886928629,0.16133221928414085,0.20403635391606523,0.4473007712082262,389,31.749350883188235,0.6098763683440356,19.45
1001,1,20,0.0,5,random_forest,Random Forest,0.668929734503505,0.24782686466602322,0.7885549483910138,0.18676758503009663,0.1196252138875088,0.5196850393700787,381,49.32743097686924,0.3725150735874611,19.05
2000,0,20,0.0,5,boosted_trees,Boosted Trees,0.6485713018014022,0.26398532230848487,0.6855976572899103,0.23680162622156542,0.03702635548850808,0.6181229773462783,309,60.36842420495041,0.2850221395020606,15.45
2001,1,20,0.0,5,boosted_trees,Boosted Trees,0.5693689405516447,0.33558007643629306,0.8761179447353258,0.1491135656864335,0.3067490041836811,0.44527363184079605,402,32.93134997670134,0.5867650729009607,20.1
3000,0,20,0.0,20,logistic,Logistic Regression,0.5292001692763436,0.26267188283342985,0.5663200532011365,0.2410125525644443,0.03711988392479293,0.6312997347480106,377,87.05961697479731,0.18657512262658704,18.85
3001,1,20,0.0,20,logistic,Logistic Regression,0.6342236404965903,0.25221919749562977,0.6798172757475083,0.21810601836458782,0.045593635250917974,0.3926940639269406,438,33.93708081387766,0.569676400102697,21.9
4000,0,20,0.0,20,random_forest,Random Forest,0.628677941443899,0.23743190244065757,0.6979632660483724,0.2136951371099538,0.06928532460447345,0.5803571428571429,336,44.5527312215936,0.4140269106684768,16.8
4001,1,20,0.0,20,random_forest,Random Forest,0.5454079731743666,0.2591317704914164,0.633879781420765,0.23687911395934047,0.08847180824639833,0.49025069637883006,359,47.86443429467868,0.38350146289363046,17.95
5000,0,20,0.0,20,boosted_trees,Boosted Trees,0.7157640232108315,0.2702904734495585,0.877304964539007,0.1501053650971075,0.16154094132817542,0.46742209631728043,353,32.10631978408024,0.6002834904864498,17.65
5001,1,20,0.0,20,boosted_trees,Boosted Trees,0.408298787041302,0.3982806490184128,0.5991862428988177,0.27915655862730254,0.1908874558575157,0.48297213622291024,323,44.04433808956622,0.41805407405925515,16.15
6000,0,20,0.0,100,logistic,Logistic Regression,0.46610140459061317,0.35427410030608203,0.4900137033230558,0.34159820214523273,0.02391229873244266,0.430327868852459,488,70.3463986802879,0.25372222083408225,24.4
6001,1,20,0.0,100,logistic,Logistic Regression,0.5597134267255165,0.35321976104513086,0.5647028721294697,0.33648844675445155,0.0049894454039531855,0.4426605504587156,436,41.64451104706262,0.45526764585917867,21.8
7000,0,20,0.0,100,random_forest,Random Forest,0.5382768361581921,0.25078185920106605,0.6128688010043942,0.235483275150428,0.07459196484620212,0.4227005870841487,511,51.537060772686885,0.36314439342510807,25.55
7001,1,20,0.0,100,random_forest,Random Forest,0.5061502862014371,0.25586848129533796,0.5844395729306214,0.24467670657508106,0.07828928672918434,0.5127388535031847,314,45.82047522595897,0.39815180869913475,15.7
8000,0,20,0.0,100,boosted_trees,Boosted Trees,0.4096821337230544,0.43333263833632607,0.650420168067227,0.26070553000961,0.24073803434417262,0.486404833836858,331,49.68007343332621,0.3641563378494913,16.55
8001,1,20,0.0,100,boosted_trees,Boosted Trees,0.5063369903389553,0.3434971322914787,0.620435565744228,0.2711237560334601,0.11409857540527268,0.5596590909090909,352,58.5814778919316,0.3017304312026904,17.6
9000,0,20,0.6,5,logistic,Logistic Regression,0.7551637700534759,0.18193961600377873,0.7895220588235294,0.1695914054599925,0.034358288770053536,0.368836291913215,507,38.052848799954944,0.5061016589530296,25.35
9001,1,20,0.6,5,logistic,Logistic Regression,0.3231415812976096,0.32980388676288225,0.34247438928289997,0.2805848422930532,0.019332807985290357,0.5108695652173914,276,46.76374970810943,0.38296933342255673,13.8
10000,0,20,0.6,5,random_forest,Random Forest,0.49412345935826096,0.2910031497014139,0.7061643004489746,0.2111705911899847,0.21204084109071364,0.41188524590163933,488,58.71207132692179,0.3124679058813887,24.4
10001,1,20,0.6,5,random_forest,Random Forest,0.3634070260964426,0.3816881606704991,0.7477287060868973,0.201362744865977,0.38432167999045475,0.41260162601626016,492,45.63405876153484,0.4144669920390476,24.6
11000,0,20,0.6,5,boosted_trees,Boosted Trees,0.574690355940356,0.3351937983141474,0.7478956228956228,0.20703128721878522,0.17320526695526683,0.4821917808219178,365,45.318738760061436,0.40893121775785957,18.25
11001,1,20,0.6,5,boosted_trees,Boosted Trees,0.43856033452807647,0.3790122872107627,0.8287335722819593,0.16127394763409245,0.39017323775388285,0.6739130434782609,276,44.67732589449195,0.404502363395049,13.8
12000,0,20,0.6,20,logistic,Logistic Regression,0.42469972964588043,0.29767832868209554,0.5011744892079955,0.26813934966179814,0.07647475956211502,0.48705882352941177,425,61.18609642252002,0.29363073877305934,21.25
12001,1,20,0.6,20,logistic,Logistic Regression,0.5552881758764112,0.2944539303809702,0.7030600118835413,0.22171580890671402,0.14777183600713006,0.46195652173913043,368,37.00161081913899,0.5141099403190036,18.4
13000,0,20,0.6,20,random_forest,Random Forest,0.6098861655214849,0.24023218955281547,0.6936553515878714,0.2190187650409259,0.0837691860663865,0.5751445086705202,346,62.618983889631444,0.27763686556015393,17.3
13001,1,20,0.6,20,random_forest,Random Forest,0.5091409691629956,0.26827349157414365,0.7846365638766519,0.18635708116212377,0.27549559471365637,0.4134366925064599,387,32.69719192695437,0.5905111050207325,19.35
14000,0,20,0.6,20,boosted_trees,Boosted Trees,0.692317933697244,0.26046103839878637,0.7634136599653841,0.2158834596355556,0.07109572626814009,0.5783475783475783,351,48.32806012680938,0.3784206253582894,17.55
