seed,replicate,n_episodes,ar_coef,total_features,model_name,model_label,grouped_auc,grouped_brier,random_auc,random_brier,delta_cv,event_rate,n_obs,n_eff,rho_hat,avg_episode_size
0,0,20,0.0,5,logistic,Logistic Regression,0.6838048432150883,0.22152083377757573,0.7480730052716695,0.19658264946112738,0.06426816205658126,0.3968609865470852,446,31.6387192814419,0.6148662681742351,22.3
1,1,20,0.0,5,logistic,Logistic Regression,0.44693548387096776,0.2710724340127734,0.5242204301075268,0.2370523475010023,0.07728494623655907,0.3768844221105528,398,29.792361704005508,0.6539221635962953,19.9
1000,0,20,0.0,5,random_forest,Random Forest,0.6145352520590098,0.2854238740247781,0.8840053398497602,0.14335998036374967,0.2694700877907503,0.40654205607476634,428,30.496605391798166,0.6389386710315753,21.4
1001,1,20,0.0,5,random_forest,Random Forest,0.6866367759224902,0.24322859721559084,0.8026437847866419,0.18099192474761427,0.11600700886415172,0.5025380710659898,394,46.88608718245045,0.3959008405821838,19.7
2000,0,20,0.0,5,xgboost,Boosted Trees,0.6443783831750821,0.26328297563445535,0.6855976572899103,0.23680162622156542,0.041219274114828175,0.6181229773462783,309,60.36842420495041,0.2850221395020606,15.45
2001,1,20,0.0,5,xgboost,Boosted Trees,0.6691330120687449,0.28082984169202924,0.9028316772570258,0.12871508286398572,0.23369866518828097,0.40589569160997735,441,31.553076174822152,0.6164584450961278,22.05
3000,0,20,0.0,20,logistic,Logistic Regression,0.5292001692763436,0.26267188283342985,0.5663200532011365,0.2410125525644443,0.03711988392479293,0.6312997347480106,377,87.05961697479731,0.18657512262658704,18.85
3001,1,20,0.0,20,logistic,Logistic Regression,0.6614563476934807,0.22791902694966068,0.702306519252764,0.20433324940590242,0.04085017155928328,0.36058700209643607,477,32.76700606413582,0.5933184387724185,23.85
4000,0,20,0.0,20,random_forest,Random Forest,0.533033633033633,0.2887571036245782,0.748035298035298,0.20480484421424439,0.21500166500166495,0.5587392550143266,349,41.95962590507266,0.44483400248288774,17.45
4001,1,20,0.0,20,random_forest,Random Forest,0.5081458719851576,0.26910777768072397,0.6783685064935064,0.22445771441889742,0.17022263450834885,0.4731182795698925,372,45.731321323141614,0.405367537396275,18.6
5000,0,20,0.0,20,xgboost,Boosted Trees,0.7338997451146982,0.24470891976941794,0.8913622203341829,0.13848747543529738,0.15746247521948464,0.43535620052770446,379,31.02004742696636,0.6249529381562066,18.95
5001,1,20,0.0,20,xgboost,Boosted Trees,0.38308404558404563,0.44685178570891976,0.63988603988604,0.268650645277244,0.25680199430199435,0.4642857142857143,336,42.22460115122293,0.440344708227865,16.8
6000,0,20,0.0,100,logistic,Logistic Regression,0.4664702994599902,0.34848662334406083,0.4985927016854852,0.33359431884088525,0.032122402225495006,0.41916167664670656,501,66.98507481414948,0.26940865089209853,25.05
6001,1,20,0.0,100,logistic,Logistic Regression,0.5984744881252769,0.3147935348474375,0.6086830903172371,0.3067544625130216,0.010208602191960181,0.41774891774891776,462,39.75556257254415,0.48058892655964613,23.1
7000,0,20,0.0,100,random_forest,Random Forest,0.6358601592246451,0.2288284290880238,0.6519196377062422,0.22607805189595234,0.016059478481597056,0.4022346368715084,537,48.81953228971667,0.3868354240705787,26.85
7001,1,20,0.0,100,random_forest,Random Forest,0.4460637581381426,0.26299133163763727,0.5822233031504902,0.24611789386459224,0.13615954501234762,0.4923547400611621,327,43.501245444768706,0.42456196481948827,16.35
8000,0,20,0.0,100,xgboost,Boosted Trees,0.28075891796490515,0.5274573446512861,0.670671689916166,0.255159888348825,0.38991277195126084,0.4680232558139535,344,47.18707516922488,0.3882797443510662,17.2
8001,1,20,0.0,100,xgboost,Boosted Trees,0.45803118201595355,0.38091880628234326,0.682861977278221,0.246685688972298,0.2248307952622674,0.5397260273972603,365,53.92710640788528,0.334399755965665,18.25
9000,0,20,0.6,5,logistic,Logistic Regression,0.7613245348785247,0.18263256717074666,0.7986087319202181,0.16171215554093835,0.03728419704169339,0.3424908424908425,546,36.693939615031745,0.5277506216956426,27.3
9001,1,20,0.6,5,logistic,Logistic Regression,0.3084627180371861,0.3668612448633349,0.42903009392371094,0.26382298339334237,0.12056737588652483,0.48788927335640137,289,44.04300608023654,0.4135143698328894,14.45
10000,0,20,0.6,5,random_forest,Random Forest,0.44609452736318406,0.31091210279038795,0.6900663349917082,0.21432415838921648,0.24397180762852416,0.40119760479041916,501,56.686979128610105,0.32590471685696343,25.05
10001,1,20,0.6,5,random_forest,Random Forest,0.34828368128860737,0.3648943156072663,0.7784345922276956,0.1872049112573534,0.43015091093908825,0.3918918918918919,518,43.67334502689433,0.43617596133754566,25.9
11000,0,20,0.6,5,xgboost,Boosted Trees,0.45845522052205223,0.4454724178042038,0.7297479747974798,0.2177647065935741,0.27129275427542754,0.4656084656084656,378,43.55883085582221,0.42893401477742865,18.9
11001,1,20,0.6,5,xgboost,Boosted Trees,0.45893070489844684,0.3581278162237613,0.8287335722819593,0.16127394763409245,0.3698028673835125,0.6739130434782609,276,44.67732589449195,0.404502363395049,13.8
12000,0,20,0.6,20,logistic,Logistic Regression,0.4729907773386034,0.28770269078326055,0.5326348369826631,0.2617226043955465,0.05964405964405972,0.4726027397260274,438,57.810588681335645,0.3146634784262454,21.9
12001,1,20,0.6,20,logistic,Logistic Regression,0.683639705882353,0.22859319107762757,0.6905199579831933,0.22144888263561646,0.006880252100840312,0.43147208121827413,394,35.35332805004758,0.5424939453305626,19.7
13000,0,20,0.6,20,random_forest,Random Forest,0.6098861655214849,0.24023218955281547,0.6936382593238302,0.2190187650409259,0.08375209380234527,0.5751445086705202,346,62.618983889631444,0.27763686556015393,17.3
13001,1,20,0.6,20,random_forest,Random Forest,0.4931156015037593,0.26558647863484364,0.7656954887218045,0.18304269791220318,0.27257988721804516,0.3755868544600939,426,31.46317467284461,0.6177161648358719,21.3
14000,0,20,0.6,20,xgboost,Boosted Trees,0.6897163663066427,0.2725865525290054,0.7799467613132209,0.20951277748599087,0.09023039500657826,0.5576923076923077,364,45.24730979877733,0.4095742538871262,18.2
14001,1,20,0.6,20,xgboost,Boosted Trees,0.47301466145087934,0.5025855937703725,0.9362338199281239,0.09670910240090677,0.4632191584772446,0.3873626373626374,364,24.579749905973465,0.8028452505038374,18.2
15000,0,20,0.6,100,logistic,Logistic Regression,0.4232910449305656,0.4096098470100433,0.5130073056147686,0.3451385125860829,0.08971626068420302,0.47954545454545455,440,41.851435524793324,0.453018043788928,22.0
15001,1,20,0.6,100,logistic,Logistic Regression,0.6765837479270316,0.31126808611283135,0.6645107794361526,0.3055588009991716,-0.012072968490879021,0.42735042735042733,351,38.35999467494534,0.4924566575912878,17.55
16000,0,20,0.6,100,random_forest,Random Forest,0.44233295795795796,0.2547915902266832,0.5875938438438438,0.2315901482697466,0.14526088588588587,0.39112050739957716,473,39.96700344731345,0.47835596729538465,23.65
16001,1,20,0.6,100,random_forest,Random Forest,0.6040771349862257,0.2359525189593191,0.6397979797979797,0.2303360809460172,0.03572084481175397,0.4186046511627907,473,66.22999978046654,0.271160206350176,23.65
17000,0,20,0.6,100,xgboost,Boosted Trees,0.4772727272727273,0.3845818603456054,0.683784965034965,0.2491081155829622,0.2065122377622377,0.5751633986928104,306,35.47360382212111,0.533295965572344,15.3
17001,1,20,0.6,100,xgboost,Boosted Trees,0.45315568446176624,0.42246719004650285,0.6867276957007764,0.24799430116602192,0.23357201123901017,0.48626373626373626,364,43.31322886011066,0.43045924324072177,18.2
18000,0,20,0.9,5,logistic,Logistic Regression,0.6502952156530488,0.2544277146240213,0.7567052344515344,0.19881729527795441,0.10641001879848555,0.45897435897435895,390,40.513266198025065,0.46629602036450113,19.5
18001,1,20,0.9,5,logistic,Logistic Regression,0.6336303365567332,0.2375613246255336,0.7165660233942823,0.20329221054586324,0.08293568683754915,0.6257861635220126,318,53.71402383134739,0.3302175590589596,15.9
19000,0,20,0.9,5,random_forest,Random Forest,0.40001299798531237,0.35568112434097726,0.7880895127921838,0.1868976785140892,0.3880765148068714,0.4813953488372093,430,40.526091514962516,0.4688023575172083,21.5
19001,1,20,0.9,5,random_forest,Random Forest,0.5247149660845721,0.32858098207167624,0.9275147928994083,0.1151866125981069,0.40279982681483617,0.4924924924924925,333,30.001124506658627,0.6453408273566397,16.65
20000,0,20,0.9,5,xgboost,Boosted Trees,0.6915894562953386,0.2817816683904788,0.8473748473748473,0.16404779553258658,0.15578539107950862,0.4609756097560976,410,34.57335455726924,0.5568637677998945,20.5
20001,1,20,0.9,5,xgboost,Boosted Trees,0.5383290267011198,0.34965605686277235,0.8243540051679586,0.17190923859932727,0.28602497846683883,0.5011600928074246,431,61.79055730974896,0.29076281263988185,21.55
21000,0,20,0.9,20,logistic,Logistic Regression,0.6295367615809604,0.24812111252405758,0.6703357416064599,0.2172386266932321,0.04079898002549953,0.41043083900226757,441,40.40053693267826,0.47105446603541523,22.05
21001,1,20,0.9,20,logistic,Logistic Regression,0.5579045587843243,0.2567983223896203,0.5998667022127433,0.24334159923216508,0.041962143428418974,0.4384057971014493,552,59.51985976565999,0.3110607292951858,27.6
22000,0,20,0.9,20,random_forest,Random Forest,0.5119285462451522,0.27347677033415224,0.7677655031926979,0.19974108358652323,0.2558369569475457,0.44175824175824174,455,52.06374120283117,0.3558293079630103,22.75
22001,1,20,0.9,20,random_forest,Random Forest,0.45515873015873015,0.2521328406467331,0.5937748015873017,0.22363613197178966,0.13861607142857152,0.6464646464646465,297,85.26469600886995,0.17929750877193823,14.85
23000,0,20,0.9,20,xgboost,Boosted Trees,0.48661223288830047,0.3798394093381411,0.7445658170583691,0.20081712987456035,0.25795358417006864,0.3496932515337423,489,39.923606878917,0.4796755788036235,24.45
23001,1,20,0.9,20,xgboost,Boosted Trees,0.6037305367650001,0.37269829868694493,0.9056158187567547,0.12017922094018962,0.3018852819917546,0.3554603854389722,467,32.4041601572567,0.6000773951691188,23.35
24000,0,20,0.9,100,logistic,Logistic Regression,0.5111128420833982,0.2347969282031354,0.5727008360596146,0.22045918159040748,0.06158799397621639,0.21907600596125187,671,40.253907161312874,0.48138830526437737,33.55
24001,1,20,0.9,100,logistic,Logistic Regression,0.48460009935419773,0.40087672515180295,0.4992548435171385,0.40260750528417244,0.01465474416294077,0.580952380952381,315,69.12671774143568,0.24114229075258622,15.75
25000,0,20,0.9,100,random_forest,Random Forest,0.670566624275823,0.18126203898537943,0.8742828882294758,0.14037331184435134,0.20371626395365272,0.23755656108597284,442,26.763362011763142,0.7353135046105412,22.1
25001,1,20,0.9,100,random_forest,Random Forest,0.43722545574346583,0.22312662278013434,0.6663875466725236,0.16900254452848054,0.22916209092905782,0.26976744186046514,430,29.202275247732327,0.6695063435517437,21.5
26000,0,20,0.9,100,xgboost,Boosted Trees,0.5506611947104424,0.32519845562233135,0.7137938896488828,0.22855331772422663,0.1631326949384404,0.48687350835322196,419,52.40168937690569,0.3506729532497851,20.95
26001,1,20,0.9,100,xgboost,Boosted Trees,0.427525961065633,0.423306523443922,0.7659599085939082,0.20219202339252015,0.33843394752827516,0.5134408602150538,372,42.60225961229178,0.43931427286188124,18.6
27000,0,50,0.0,5,logistic,Logistic Regression,0.6719065689662821,0.2260906192918554,0.6891829220588057,0.2176804476401984,0.017276353092523622,0.4168316831683168,1010,81.87211257885484,0.5904329644597784,20.2
27001,1,50,0.0,5,logistic,Logistic Regression,0.7499854133846784,0.20160429134650426,0.7611684851313769,0.19681721112165948,0.011183071746698525,0.4239766081871345,1026,95.74931615607508,0.49771932527754426,20.52
28000,0,50,0.0,5,random_forest,Random Forest,0.5504333409934015,0.284346629684437,0.8272857095958767,0.16300224682083453,0.2768523686024752,0.36118363794604,1149,88.94256187532667,0.5422406536672001,22.98
28001,1,50,0.0,5,random_forest,Random Forest,0.567683729574847,0.28069652870904555,0.7914940370169596,0.17958128553011635,0.2238103074421126,0.38879159369527144,1142,99.79060685318625,0.4782034282958805,22.84
29000,0,50,0.0,5,xgboost,Boosted Trees,0.6750223674485548,0.26392877528902364,0.8244874936787645,0.16981701692957918,0.1494651262302097,0.44172380019588636,1021,107.80482991642286,0.43619045870943046,20.42
29001,1,50,0.0,5,xgboost,Boosted Trees,0.5255944444444445,0.3171389131931018,0.7718166666666667,0.18937929884380852,0.24622222222222223,0.5614035087719298,855,107.86778257660949,0.43020934223167684,17.1
30000,0,50,0.0,20,logistic,Logistic Regression,0.6992017416545719,0.21994378527149122,0.7398645379777455,0.1982097093764741,0.0406627963231736,0.3787195671776375,1109,82.55207631533935,0.5870606402136216,22.18
30001,1,50,0.0,20,logistic,Logistic Regression,0.6401234354214163,0.24701589824261194,0.7046204212431569,0.21813766197985013,0.06449698582174068,0.4811111111111111,900,86.82511400653837,0.5509214398444979,18.0
31000,0,50,0.0,20,random_forest,Random Forest,0.532343068444955,0.25976467218297206,0.7097452835268987,0.2177727884470222,0.17740221508194365,0.4659735349716446,1058,118.18641601892429,0.39444243146508523,21.16
31001,1,50,0.0,20,random_forest,Random Forest,0.5774586816444655,0.2434282434087417,0.6959911867619922,0.2125114882350963,0.11853250511752678,0.48709315375982043,891,102.09358749658064,0.45941061941516104,17.82
32000,0,50,0.0,20,xgboost,Boosted Trees,0.7487532086541988,0.21651702938091996,0.8296516318298497,0.16811341361722876,0.08089842317565088,0.42613636363636365,1056,99.3893931963522,0.4783735694364079,21.12
32001,1,50,0.0,20,xgboost,Boosted Trees,0.5724946695095949,0.31825086497633814,0.8042372407624797,0.17888138632399847,0.23174257125288478,0.3921951219512195,1025,91.971191865736,0.5202458532474256,20.5
33000,0,50,0.0,100,logistic,Logistic Regression,0.643980142988413,0.25966019574367827,0.6214785181200834,0.2723334675426814,-0.02250162486832963,0.506508875739645,845,101.03961824201399,0.46308529199686155,16.9
33001,1,50,0.0,100,logistic,Logistic Regression,0.5450350974051582,0.2545625459176916,0.5621924806008725,0.24331182199014176,0.01715738319571425,0.3366255144032922,1215,84.84990469619292,0.5716482076138621,24.3
34000,0,50,0.0,100,random_forest,Random Forest,0.4315642233224651,0.2628811943288964,0.532989172000161,0.24960240086460722,0.10142494867769597,0.49147442326980945,997,126.49037981267253,0.36335915227678406,19.94
34001,1,50,0.0,100,random_forest,Random Forest,0.5642915906111011,0.2507069216669095,0.7137857675399132,0.21852520710105763,0.14949417692881206,0.5082382762991128,789,78.16517142807146,0.6152915912007906,15.78
35000,0,50,0.0,100,xgboost,Boosted Trees,0.43537360343205855,0.3358495610552951,0.6005223030275222,0.2571309409296664,0.16514869959546363,0.46731707317073173,1025,139.43679443342623,0.32569235334110697,20.5
35001,1,50,0.0,100,xgboost,Boosted Trees,0.5284902656676744,0.31815250265764405,0.7844659626984474,0.18024102794795058,0.25597569703077294,0.35597381342062195,1222,97.9147291539572,0.48977162761037774,24.44
36000,0,50,0.6,5,logistic,Logistic Regression,0.618758698677801,0.23412753099980768,0.6430435430957352,0.22719469719429217,0.024284844417934215,0.4161598609904431,1151,121.24094397504149,0.3857171917958733,23.02
36001,1,50,0.6,5,logistic,Logistic Regression,0.6720409559060188,0.22301130053916812,0.6728053588670744,0.2197096352158384,0.0007644029610556213,0.4337568058076225,1102,109.0623830159402,0.43271429812198625,22.04
37000,0,50,0.6,5,random_forest,Random Forest,0.44584505391467416,0.32094219666935714,0.7363396624472575,0.2022395557394551,0.2904946085325833,0.5683453237410072,834,124.53038202293641,0.3633393403743708,16.68
37001,1,50,0.6,5,random_forest,Random Forest,0.6237309818435043,0.26744390830246795,0.8136504297545881,0.17727172347971262,0.18991944791108384,0.4343137254901961,1020,100.27343775858898,0.47279306207377086,20.4
38000,0,50,0.6,5,xgboost,Boosted Trees,0.5245926730522366,0.3307319728289954,0.8656561666831243,0.1480530978446478,0.3410634936308877,0.5464601769911505,904,95.32068131015193,0.49670820303988933,18.08
38001,1,50,0.6,5,xgboost,Boosted Trees,0.6447425206641796,0.3127996091313837,0.8746982664033356,0.14405447032577304,0.229955745739156,0.4415954415954416,1053,92.70128031427731,0.5164041085078582,21.06
39000,0,50,0.6,20,logistic,Logistic Regression,0.5600371664970576,0.2610396453525504,0.5939294721472501,0.24701088769367927,0.03389230565019252,0.4900105152471083,951,106.0765163399804,0.442021450839606,19.02
39001,1,50,0.6,20,logistic,Logistic Regression,0.7339141843709798,0.18796210978699546,0.7496755431989027,0.1822216035683081,0.015761358827922956,0.3453525641025641,1248,91.51994382651307,0.5273944910745786,24.96
40000,0,50,0.6,20,random_forest,Random Forest,0.4476815300789503,0.27437442988830946,0.626498387634827,0.23656064127769258,0.17881685755587673,0.5405405405405406,851,114.87799139405904,0.3999912189054321,17.02
40001,1,50,0.6,20,random_forest,Random Forest,0.6783918298083689,0.2204002846136653,0.7458283321606446,0.19907802362784335,0.06743650235227572,0.4047402005469462,1097,107.82721858140815,0.4380937703297762,21.94
41000,0,50,0.6,20,xgboost,Boosted Trees,0.6997353773154485,0.25884193881799183,0.8456656629254493,0.15820130425543433,0.14593028561000077,0.4096638655462185,952,91.78494287388955,0.5195161645086834,19.04
41001,1,50,0.6,20,xgboost,Boosted Trees,0.5415278353363724,0.315630223066206,0.7867495510429617,0.1811079867532155,0.24522171570658935,0.3839935327405012,1237,109.33813521215966,0.4344367103781152,24.74
42000,0,50,0.6,100,logistic,Logistic Regression,0.5876746506986028,0.26848008490054454,0.5701596806387226,0.27439298414877084,-0.01751497005988023,0.472196041470311,1061,131.87801878056618,0.3484329111392009,21.22
42001,1,50,0.6,100,logistic,Logistic Regression,0.5514768363932542,0.27956560488677035,0.6014392852231739,0.254353042673832,0.04996244882991974,0.40239410681399634,1086,94.12608198746155,0.5085770259174258,21.72
43000,0,50,0.6,100,random_forest,Random Forest,0.6108954438247174,0.24088846274242026,0.6694495338549838,0.23273884898461975,0.05855409003026646,0.4983127109111361,889,121.83349505821788,0.3752588759917544,17.78
43001,1,50,0.6,100,random_forest,Random Forest,0.4989144186426152,0.2594464203390214,0.6391523486919969,0.2323666910637033,0.14023793004938168,0.4612286002014099,993,107.78238572022929,0.43547233127969587,19.86
44000,0,50,0.6,100,xgboost,Boosted Trees,0.5716377924629398,0.2708684084608055,0.6928627364776676,0.2201510209769597,0.12122494401472783,0.4158496732026144,1224,118.030010592133,0.3990734208844622,24.48
44001,1,50,0.6,100,xgboost,Boosted Trees,0.5584493068404259,0.2774116071746235,0.8017489877456896,0.1685886548918574,0.24329968090526366,0.3502183406113537,1145,93.4575066906953,0.5137697405389445,22.9
45000,0,50,0.9,5,logistic,Logistic Regression,0.5703044611620516,0.22462854364336401,0.5881942697733976,0.2216218015255906,0.017889808611346036,0.34891216760676874,1241,122.67676671985893,0.38270423592868774,24.82
45001,1,50,0.9,5,logistic,Logistic Regression,0.6334336749070466,0.23577658324894885,0.6409111839618427,0.22870569094414145,0.00747750905479605,0.41994510521500455,1093,102.25852034493361,0.46445809622711626,21.86
46000,0,50,0.9,5,random_forest,Random Forest,0.6132882972734567,0.2741955607144732,0.8942760763662638,0.13559297918517468,0.28098777909280714,0.4352818371607516,958,89.38611164590021,0.5351073043926605,19.16
46001,1,50,0.9,5,random_forest,Random Forest,0.511449292593033,0.299228510571224,0.7758679110688385,0.19133519769726146,0.2644186184758055,0.44558697514995715,1167,123.95600043943479,0.37666208436528265,23.34
