model_label,n_episodes,ar_coef,total_features,grouped_auc_mean,random_auc_mean,delta_cv_mean,delta_cv_std,n_eff_mean,event_rate_mean
Boosted Trees,20,0.0,5,0.573,0.788,0.215,0.121,57.053,0.546
Boosted Trees,20,0.0,20,0.558,0.69,0.132,0.054,54.977,0.466
Boosted Trees,20,0.0,100,0.533,0.675,0.142,0.087,53.193,0.489
Boosted Trees,20,0.6,5,0.526,0.8,0.274,0.094,46.037,0.451
Boosted Trees,20,0.6,20,0.546,0.774,0.227,0.142,45.82,0.508
Boosted Trees,20,0.6,100,0.567,0.72,0.153,0.065,43.542,0.461
Boosted Trees,20,0.9,5,0.619,0.867,0.248,0.103,43.724,0.455
Boosted Trees,20,0.9,20,0.554,0.791,0.237,0.081,44.925,0.43
Boosted Trees,20,0.9,100,0.5,0.704,0.203,0.078,49.995,0.456
Boosted Trees,50,0.0,5,0.554,0.773,0.219,0.066,120.525,0.478
Boosted Trees,50,0.0,20,0.588,0.787,0.199,0.062,103.483,0.474
Boosted Trees,50,0.0,100,0.572,0.705,0.133,0.074,118.29,0.488
Boosted Trees,50,0.6,5,0.546,0.814,0.268,0.064,110.37,0.478
Boosted Trees,50,0.6,20,0.551,0.765,0.214,0.056,112.078,0.511
Boosted Trees,50,0.6,100,0.588,0.744,0.156,0.083,102.733,0.439
Boosted Trees,50,0.9,5,0.554,0.83,0.276,0.059,115.723,0.455
Boosted Trees,50,0.9,20,0.59,0.798,0.208,0.052,114.065,0.47
Boosted Trees,50,0.9,100,0.581,0.754,0.173,0.049,103.232,0.465
Boosted Trees,100,0.0,5,0.562,0.802,0.239,0.073,219.978,0.437
Boosted Trees,100,0.0,20,0.601,0.771,0.17,0.048,215.324,0.471
Boosted Trees,100,0.0,100,0.566,0.711,0.145,0.043,224.308,0.482
Boosted Trees,100,0.6,5,0.573,0.836,0.263,0.061,200.195,0.472
Boosted Trees,100,0.6,20,0.592,0.76,0.168,0.036,229.618,0.446
Boosted Trees,100,0.6,100,0.556,0.691,0.135,0.039,228.955,0.467
Boosted Trees,100,0.9,5,0.594,0.837,0.243,0.023,222.645,0.486
Boosted Trees,100,0.9,20,0.583,0.767,0.184,0.033,224.102,0.476
Boosted Trees,100,0.9,100,0.573,0.739,0.166,0.049,221.659,0.469
Logistic Regression,20,0.0,5,0.6,0.641,0.042,0.057,46.571,0.459
Logistic Regression,20,0.0,20,0.537,0.594,0.057,0.058,50.766,0.482
Logistic Regression,20,0.0,100,0.538,0.56,0.023,0.04,48.708,0.492
Logistic Regression,20,0.6,5,0.606,0.653,0.047,0.031,47.698,0.48
Logistic Regression,20,0.6,20,0.563,0.601,0.039,0.055,46.281,0.477
Logistic Regression,20,0.6,100,0.52,0.544,0.024,0.045,54.516,0.495
Logistic Regression,20,0.9,5,0.594,0.67,0.077,0.036,43.49,0.474
Logistic Regression,20,0.9,20,0.582,0.66,0.079,0.059,45.625,0.47
Logistic Regression,20,0.9,100,0.564,0.603,0.038,0.029,46.881,0.455
Logistic Regression,50,0.0,5,0.654,0.662,0.009,0.014,108.415,0.452
Logistic Regression,50,0.0,20,0.633,0.652,0.019,0.021,110.581,0.487
Logistic Regression,50,0.0,100,0.532,0.553,0.021,0.023,117.212,0.471
Logistic Regression,50,0.6,5,0.591,0.627,0.035,0.033,113.158,0.461
Logistic Regression,50,0.6,20,0.598,0.628,0.03,0.023,119.096,0.465
Logistic Regression,50,0.6,100,0.568,0.584,0.016,0.026,123.543,0.464
Logistic Regression,50,0.9,5,0.573,0.632,0.059,0.045,119.503,0.445
Logistic Regression,50,0.9,20,0.62,0.669,0.049,0.039,101.964,0.451
Logistic Regression,50,0.9,100,0.571,0.595,0.024,0.03,128.411,0.483
Logistic Regression,100,0.0,5,0.641,0.651,0.01,0.009,223.546,0.457
Logistic Regression,100,0.0,20,0.663,0.668,0.005,0.011,211.888,0.452
Logistic Regression,100,0.0,100,0.61,0.614,0.004,0.012,212.51,0.459
Logistic Regression,100,0.6,5,0.643,0.654,0.012,0.007,216.947,0.46
Logistic Regression,100,0.6,20,0.622,0.634,0.012,0.009,218.865,0.457
Logistic Regression,100,0.6,100,0.616,0.626,0.011,0.015,213.864,0.492
Logistic Regression,100,0.9,5,0.634,0.657,0.022,0.021,222.507,0.481
Logistic Regression,100,0.9,20,0.614,0.63,0.016,0.015,231.862,0.462
Logistic Regression,100,0.9,100,0.6,0.615,0.016,0.01,224.563,0.465
Random Forest,20,0.0,5,0.631,0.79,0.159,0.077,44.342,0.513
Random Forest,20,0.0,20,0.521,0.664,0.143,0.069,46.192,0.471
Random Forest,20,0.0,100,0.476,0.605,0.129,0.161,52.171,0.51
Random Forest,20,0.6,5,0.538,0.77,0.232,0.112,54.668,0.484
Random Forest,20,0.6,20,0.547,0.71,0.163,0.073,46.342,0.45
Random Forest,20,0.6,100,0.53,0.619,0.088,0.073,51.743,0.455
Random Forest,20,0.9,5,0.5,0.863,0.363,0.141,45.989,0.527
Random Forest,20,0.9,20,0.522,0.708,0.186,0.053,53.836,0.474
Random Forest,20,0.9,100,0.558,0.688,0.131,0.078,45.123,0.442
Random Forest,50,0.0,5,0.579,0.767,0.187,0.042,110.171,0.446
Random Forest,50,0.0,20,0.575,0.677,0.103,0.038,115.78,0.462
Random Forest,50,0.0,100,0.517,0.624,0.107,0.067,102.982,0.461
Random Forest,50,0.6,5,0.52,0.783,0.263,0.066,106.069,0.461
Random Forest,50,0.6,20,0.57,0.683,0.113,0.041,114.724,0.504
Random Forest,50,0.6,100,0.561,0.647,0.086,0.051,111.492,0.477
Random Forest,50,0.9,5,0.565,0.834,0.268,0.079,109.275,0.478
Random Forest,50,0.9,20,0.602,0.749,0.147,0.049,104.503,0.5
Random Forest,50,0.9,100,0.592,0.671,0.078,0.042,114.775,0.517
Random Forest,100,0.0,5,0.578,0.737,0.159,0.047,225.745,0.467
Random Forest,100,0.0,20,0.606,0.683,0.077,0.013,208.199,0.448
Random Forest,100,0.0,100,0.601,0.659,0.058,0.022,205.452,0.466
Random Forest,100,0.6,5,0.579,0.787,0.208,0.038,204.908,0.461
Random Forest,100,0.6,20,0.613,0.702,0.09,0.028,201.297,0.466
Random Forest,100,0.6,100,0.606,0.659,0.053,0.026,219.675,0.445
Random Forest,100,0.9,5,0.577,0.811,0.234,0.026,225.53,0.474
Random Forest,100,0.9,20,0.577,0.694,0.117,0.029,208.801,0.461
Random Forest,100,0.9,100,0.612,0.665,0.053,0.025,231.922,0.475
