model_label,n_episodes,ar_coef,total_features,grouped_auc_mean,random_auc_mean,delta_cv_mean,delta_cv_std,n_eff_mean,event_rate_mean
Boosted Trees,20,0.0,5,0.657,0.794,0.137,0.136,45.961,0.512
Boosted Trees,20,0.0,20,0.558,0.766,0.207,0.07,36.622,0.45
Boosted Trees,20,0.0,100,0.369,0.677,0.307,0.117,50.557,0.504
Boosted Trees,20,0.6,5,0.459,0.779,0.321,0.07,44.118,0.57
Boosted Trees,20,0.6,20,0.581,0.858,0.277,0.264,34.914,0.473
Boosted Trees,20,0.6,100,0.465,0.685,0.22,0.019,39.393,0.531
Boosted Trees,20,0.9,5,0.615,0.836,0.221,0.092,48.182,0.481
Boosted Trees,20,0.9,20,0.545,0.825,0.28,0.031,36.164,0.353
Boosted Trees,20,0.9,100,0.489,0.74,0.251,0.124,47.502,0.5
Boosted Trees,50,0.0,5,0.6,0.798,0.198,0.068,107.836,0.502
Boosted Trees,50,0.0,20,0.661,0.817,0.156,0.107,95.68,0.409
Boosted Trees,50,0.0,100,0.482,0.692,0.211,0.064,118.676,0.412
Boosted Trees,50,0.6,5,0.585,0.87,0.286,0.079,94.011,0.494
Boosted Trees,50,0.6,20,0.621,0.816,0.196,0.07,100.562,0.397
Boosted Trees,50,0.6,100,0.565,0.747,0.182,0.086,105.744,0.383
Boosted Trees,50,0.9,5,0.607,0.873,0.266,0.125,96.49,0.423
Boosted Trees,50,0.9,20,0.533,0.793,0.26,0.08,113.741,0.496
Boosted Trees,50,0.9,100,0.632,0.779,0.147,0.012,104.257,0.524
Boosted Trees,100,0.0,5,0.564,0.817,0.253,0.117,212.276,0.404
Boosted Trees,100,0.0,20,0.658,0.796,0.139,0.041,196.961,0.451
Boosted Trees,100,0.0,100,0.471,0.707,0.235,0.074,228.194,0.439
Boosted Trees,100,0.6,5,0.567,0.881,0.315,0.042,168.167,0.462
Boosted Trees,100,0.6,20,0.59,0.813,0.223,0.069,207.051,0.378
Boosted Trees,100,0.6,100,0.543,0.711,0.168,0.009,216.04,0.416
Boosted Trees,100,0.9,5,0.582,0.85,0.268,0.022,212.128,0.435
Boosted Trees,100,0.9,20,0.532,0.772,0.24,0.079,232.847,0.459
Boosted Trees,100,0.9,100,0.595,0.786,0.192,0.055,197.644,0.516
Logistic Regression,20,0.0,5,0.565,0.636,0.071,0.009,30.716,0.387
Logistic Regression,20,0.0,20,0.595,0.634,0.039,0.003,59.913,0.496
Logistic Regression,20,0.0,100,0.532,0.554,0.021,0.015,53.37,0.418
Logistic Regression,20,0.6,5,0.535,0.614,0.079,0.059,40.368,0.415
Logistic Regression,20,0.6,20,0.578,0.612,0.033,0.037,46.582,0.452
Logistic Regression,20,0.6,100,0.55,0.589,0.039,0.072,40.106,0.453
Logistic Regression,20,0.9,5,0.642,0.737,0.095,0.017,47.114,0.542
Logistic Regression,20,0.9,20,0.594,0.635,0.041,0.001,49.96,0.424
Logistic Regression,20,0.9,100,0.498,0.536,0.038,0.033,54.69,0.4
Logistic Regression,50,0.0,5,0.711,0.725,0.014,0.004,88.811,0.42
Logistic Regression,50,0.0,20,0.67,0.722,0.053,0.017,84.689,0.43
Logistic Regression,50,0.0,100,0.595,0.592,-0.003,0.028,92.945,0.422
Logistic Regression,50,0.6,5,0.645,0.658,0.013,0.017,115.152,0.425
Logistic Regression,50,0.6,20,0.647,0.672,0.025,0.013,98.798,0.418
Logistic Regression,50,0.6,100,0.57,0.586,0.016,0.048,113.002,0.437
Logistic Regression,50,0.9,5,0.602,0.615,0.013,0.007,112.468,0.384
Logistic Regression,50,0.9,20,0.725,0.742,0.017,0.023,85.081,0.362
Logistic Regression,50,0.9,100,0.626,0.655,0.029,0.013,122.526,0.412
Logistic Regression,100,0.0,5,0.68,0.688,0.007,0.006,200.848,0.444
Logistic Regression,100,0.0,20,0.638,0.651,0.012,0.023,213.985,0.422
Logistic Regression,100,0.0,100,0.636,0.642,0.006,0.008,205.243,0.391
Logistic Regression,100,0.6,5,0.646,0.662,0.017,0.016,201.964,0.473
Logistic Regression,100,0.6,20,0.623,0.639,0.016,0.003,223.112,0.486
